Vendor Code,Vendor Name
400802,SAUDI MAZ GENERAL CONTRACTING EST.
400803,SHAMS AL-GAZEERA EST FOR TARPUALINS
400805,AINMA ALMAWTIN GEN CONT EST
400808,MOBIUS TECHNOLOGY LIMITED
400809,OSOS AL NAJD COMPANY
400810,TECHNICAL SOURCE INDUSTRIAL
400811,NASSIR S. AL HYDER & PARTNER CO.
400814,PLAINS & MOUNTAINS CO FOR
400816,WESTERNGECO SAUDI ARABIA LTD
400817,AVERDA SAUDI INTERNATIONAL CO.
400819,JOHNSON CONTROLS ARABIA LTD CO.
400821,BAHRAWY GULF CONSULTANCY COMPANY
400823,AJ UNITED COMPANY
400824,Al-Jeri Transportation Co.
400825,PROJECTS SOUND CO
400826,ATEEQ BIN MURISHID BIN RASHID AL-LU
400828,SAMIRAH ABDULLAH BIN SAAD AL-SHAHRA
400830,AL MANAFA TRANSPORTATION &
400831,ART & VISION CONTRACTING
400832,AL SAFWA SUPPLIES TRADING
400834,PAMAS CONTRACTING COMPANY
400835,FMS MALAGA CONTRACTING COMPANY
400836,AL-AITISAE GENERAL CONTRACTING EST.
400837,MULTIFIX INDUSTRIAL SOLUTIONS LTD C
400838,SAUDI PIELDS CONTRACTING COMPANY
400839,AL JUBAIL HIT FACTORY FOR
400840,MIZAT AL KHALEEJ PROJECT SUPPORT
400841,CEG SAUDI ARABIA COMPANY
400844,AMAN AL-ALAMIYYAH AL-MUTTAHIDAH FOR
400845,AL WEFAQ TRANSPORTATION SOLUTIONS C
400846,THE NATIONAL LINE COMPANY LTD.
400851,CONTROL INSTRUMENT ARCHITECTURE FOR
400853,NATAAJ AL HANDASAH FOR
400854,NAJEM AIR CONDITIONING CONTRACTING
400857,AL JAZEERA AL SHARQIA INDUSTRIAL
400862,ESTABLISHMENT JOODY FANIYE
400864,MUHAMMAD BIN ALI ALAAMRY CO
400866,NAHDHAT AL-DIYAR TRANSPORTATION
800000,JACR FOR PETROLEUM AND INDUSTRIAL
900000,ONE TIME VENDOR
