vendor-code,vendor-name,material-group,material-subgroup,is-service,total-po-value-sar,total-po-count
100453,FLUPER LIMITED,,,,0,0
100452,QUALITY AGENCIES,,,,460765.7,8
100460,ALYOUSF OPERATION & MAINTENANCE CO.,,,,0,0
100454,MDX TECHNOLOGY SOLUTIONS ME LLC,,,,991712.4,3
100455,JKT Electricals,,,,5662.5,1
100471,LASTICK RECRUITMENT AGENCY,,,,0,0
100465,LASTICK HR AND RECRUITMENT SERVICES,,,,0,0
100466,FERROBEND LLP.,,,,0,0
100470,MEDAS GmbH,,,,0,0
100473,CHONGQING BOOMARINESUPPLIES LTD.,,,,8640,1
100472,OVUN AS,,,,42899.4,2
100474,LINKEDIN IRELAND UNLIMITED CO,,,,0,0
100476,ZoomInfo Technologies LLCOld:ZOOMINFO UK LTD,,,,31875,1
100475,GL EMPLOYMENT BROKERAGE LLC,,,,0,0
100487,AL HILAL PUBLISHING & MARKETINGGROUP WLL,,,,16000,1
100481,SIGMA POWER ZONE TRADING CO.(WLL),,,,53280.55,1
100477,FORTRESS INTERLOCKS LTD.,,,,7562.81,1
100485,PROMAEL SUMINISTROS ELECTRICOS S.L.,,,,786505.01,1
100486,AMOROSO AMOROSO AND ASSOCIATESLAW OFFIC,,,,0,0
100480,WEBENGAGE TECHNOLOGIES DMCC,,,,0,0
100494,Posadi Industrial Products,,,,588.75,1
100490,ARAFA TRAVEL SERVICE,,,,0,0
100491,LINK INTERNATIONAL PLACEMENT SERVICPVT.LTD,,,,0,0
100492,GUTOR ELECTRONIC ASIA PACIFICSDN. BHD.,,,,703890.63,7
100493,PLACEWELL INTERNATIONAL SERVICESCORPORATION,,,,0,0
100499,FICEP SPA,,,,4050000,1
100495,"ABO VALVE, S.R.O",,,,1021245,3
100496,STEEL TUBES (INDIA),,,,322290,3
100497,DYNAMIC PRODUCTS FZE,,,,0,0
100498,PROMAU S.R.L,,,,855000,1
100503,GAYTRI INDUSTRIAL CORPORATIONPRIVATE LIMITED,,,,55248.75,1
100500,"READ AI, INC.",,,,10125,2
100502,GSE ONLINE SDN. BHD.,,,,6031.8,1
100506,Al-Mutaz Surveying Instruments,,,,0,0
100504,JAYD RECRUITMENT & TRAVEL AGENCY,,,,0,0
100505,PT.HAYDRA PESONA WISATA,,,,0,0
100508,NUCORK PRODUCTS PVT LTD,,,,789,1
100507,DAYAL BUILDING MATERIAL TRADERS LTD,,,,21683.34,1
100510,"Gesellshaft fuer Planung, MaschinenMuehlenbaue Erhard Muhr mbH",,,,617877,1
100509,DPV-UK LIMTED,,,,6225,1
100501,AL HAMDI ETUDES ET CONSEILS TUNISIA,,,,0,0
100512,ZEGORA FOREIGN PARIVATE EMPLOYMENT,,,,0,0
100513,CERTN(UK)Ltd,,,,0,0
100514,TRIMBLE EUROPEB.V. (TEBV),,,,23006.25,1
100515,ELENTECH ENGINEERING SERVICESPVT LTD.,,,,112500,1
100520,ENERZIA POWER SOLUTIONS,,,,112136.25,1
100521,"PATTON, LLC",,,,26157.75,2
100511,AISYAH ROBANI,,,,0,0
100522,"UNITED TEKNICAL AND INDUSTRIALSERVICES, INC",,,,29250,1
100524,OPEC RECRUITMENT Ltd,,,,0,0
100523,EXPERT HOUSE INFORAMTION TECHNOLOGY,,,,0,0
100525,PRIME A/C INDUSTRIES (LLC),,,,4026.16,1
100526,"HD Hyundai Electric Co., Ltd.",,,,11250000,1
100527,SAS INTERNATIONAL MARINESERVICES LLC,,,,23782.5,1
100528,IOG PRODUCTS LLC,,,,9757.5,1
100529,LIAN TECHNOLOGIES,,,,151229.16,1
100530,GIANT REINFORCED PLASTIC IND. LLC,,,,1102.5,1
100531,KZ PRECISION CORPORATION,,,,49612.5,1
100532,FICEP MIDDLE EAST SAL OFFSHORE,,,,112294.85,1
100533,"SHANGHAI DAAO SAFETY PROTECTIONEQUIPMENT CO.,LTD.",,,,1204965,2
100535,MASHRAF TECHNOLOGIES,,,,50000,1
100534,WORNG TYPE OF VENDOR SERVICE,,,,0,0
100537,INTERTEK ARABIA ADMINISTRATIVE CO.,,,,0,0
100536,AMARA GLOBAL RECRUITMENT,,,,0,0
100540,ALIF RECRUITMENT & MANPOWER SOLUTIO,,,,0,0
100538,DONOT USE,,,,0,0
100542,VALMET PROCESS TECHNOLOGIES& SERVICE,,,,27750,1
100543,TRIPLEFAST MIDDLEEAST LIMITED,,,,11107.5,1
100544,VALVEVO CHEMICALS AND ENGINEERINGINDUSTRIAL TRADING LLC XXXXX,,,,15921.6,1
100541,AMARA GLOBAL RECRUITMENT,,,,0,0
100545,AL MAMAAS LINE TRADING LLC,,,,221625.6,1
100551,IBRAHIM ENTERPRISES PVT. LTD.,,,,0,0
100550,EMERALD ISLE MANPOWER & TRAVEL SER,,,,0,0
100555,WELOTEC GmbH,,,,456669,1
200000,ABDULLAH A. AL-BARRAK & CO.,,,,0,0
200001,ARABIAN AUTO AGENCY CO. LTD.,,,,1476243,6
200002,ABDULLAH I ALBAIJAN TRD EST,,,,0,0
200003,A.ABUNAYYAN ELECTRIC CORP.,,,,59767.81,3
200004,ABDULLAH AL ENAZI ESTABLISHMENT,,,,0,0
200005,ALI AHMED AL-ISMAIL TRADING EST.,,,,0,0
200006,ABED AL-MIS'HAL CORP.,,,,12338.12,5
200008,AHMED A. AL-SFOOG ELECTRICAL &TELECOM EST,,,,7002,1
